iter	MultiClass
0	1.07903742
1	1.061381125
2	1.045271858
3	1.031186435
4	1.017551189
5	1.006153109
6	0.9955338361
7	0.9873791417
8	0.9783343777
9	0.9702891444
10	0.9628867986
11	0.9559972234
12	0.9497237158
13	0.943978132
14	0.9379990903
15	0.9324559113
16	0.9277427544
17	0.9234743708
18	0.9198851248
19	0.9165235879
20	0.9128073426
21	0.9092416042
22	0.9060250761
23	0.903152288
24	0.9007686276
25	0.8982212716
26	0.8956410304
27	0.8931757473
28	0.8909039666
29	0.8889727588
30	0.8866176912
31	0.8845905312
32	0.8830390725
33	0.8814913916
34	0.8801410523
35	0.8787868803
36	0.8775493748
37	0.8755193665
38	0.8745029802
39	0.8730195498
40	0.8717301073
41	0.8704600226
42	0.8693398074
43	0.868254525
44	0.8673915661
45	0.8663375839
46	0.8652627187
47	0.8645231759
48	0.863855707
49	0.8629900089
50	0.8618194078
51	0.8607287798
52	0.8599850064
53	0.8591754864
54	0.858409253
55	0.8575655841
56	0.8565620633
57	0.8561376373
58	0.8552902762
59	0.8547178238
60	0.8539997801
61	0.8532819116
62	0.8527654212
63	0.8521981738
64	0.8517753374
65	0.8513335508
66	0.8506410795
67	0.8498941492
68	0.8491431976
69	0.8486508969
70	0.8478304186
71	0.8475351502
72	0.8468803261
73	0.8464025203
74	0.8458429722
75	0.8452482697
76	0.8448162037
77	0.8440595937
78	0.8434487084
79	0.8431234284
80	0.8426225364
81	0.8422627396
82	0.8417442699
83	0.8413407503
84	0.8409747337
85	0.8405557326
86	0.8402582461
87	0.839688613
88	0.839112337
89	0.8387307445
90	0.8384970468
91	0.838152785
92	0.8377819924
93	0.8372921075
94	0.8369998992
95	0.8366525459
96	0.8360729095
97	0.8353884096
98	0.8349964767
99	0.8346138705
100	0.8341510573
101	0.8337070603
102	0.8332562285
103	0.832942315
104	0.8326578423
105	0.8323999168
106	0.8318776071
107	0.8315059332
108	0.8312104881
109	0.8308771359
110	0.830614415
111	0.8303526481
112	0.8297448169
113	0.8293007405
114	0.8289644638
115	0.8286545065
116	0.8283448408
117	0.8279111412
118	0.8276372652
119	0.8273102884
120	0.8269014624
121	0.8264386969
122	0.8261794062
123	0.825887203
124	0.8255618309
125	0.8249979942
126	0.8247385229
127	0.8243599172
128	0.8240224179
129	0.8237305788
130	0.8233981835
131	0.8230908653
132	0.8226783381
133	0.8223552412
134	0.8220346381
135	0.8217270243
136	0.8213063121
137	0.8209688477
138	0.8205919803
139	0.8202131225
140	0.8196968073
141	0.8192902143
142	0.8190246155
143	0.8186634761
144	0.8183124261
145	0.817991521
146	0.8175801401
147	0.8172777284
148	0.8170561559
149	0.8168877152
150	0.8167018487
151	0.8164915114
152	0.8161888868
153	0.8157553894
154	0.8154483466
155	0.8152132572
156	0.8149198491
157	0.8146377354
158	0.8143609764
159	0.8141654727
160	0.8138979139
161	0.8135663276
162	0.8131174824
163	0.8129421861
164	0.81266019
165	0.8123405573
166	0.8119922524
167	0.8116465463
168	0.8114290513
169	0.8112162548
170	0.8109871624
171	0.8106702216
172	0.8104104578
173	0.8099995196
174	0.8094233823
175	0.8091058604
176	0.8088862278
177	0.8085790522
178	0.8079970135
179	0.8075972046
180	0.8072233628
181	0.8067954608
182	0.8064477775
183	0.8062113715
184	0.8058119287
185	0.8054646713
186	0.8050349816
187	0.8046316332
188	0.804190804
189	0.8039112711
190	0.8034917816
191	0.8030622521
192	0.8027439674
193	0.8024755232
194	0.8021220545
195	0.8018762056
196	0.8015785973
197	0.8012669556
198	0.8009215488
199	0.8006448371
