iter	Passed	Remaining
0	6	122111	12	1267
2	21	1431
3	29	1464
4	36	1440
5	44	1433
6	52	1444
7	58	1403
8	66	1405
9	74	1417
10	83	1434
11	89	1409
12	96	1394
13	102	1363
14	109	1344
15	115	1324
16	121	1306
17	128	1294
18	134	1279
19	140	1266
20	147	1256
21	153	1241
22	158	1223
23	164	1209
24	171	1201
25	177	1187
26	183	1178
27	190	1167
28	196	1159
29	203	1151
30	209	1141
31	216	1134
32	223	1130
33	229	1119
34	235	1109
35	241	1101
36	247	1092
37	254	1083
38	260	1074
39	267	1068
40	273	1061
41	279	1051
42	285	1041
43	291	1034
44	299	1032
45	305	1024
46	312	1018
47	319	1010
48	324	1001
49	331	993
50	337	984
51	342	974
52	349	969
53	355	960
54	361	951
55	367	945
56	374	938
57	379	929
58	386	922
59	391	914
60	397	906
61	404	900
62	411	895
63	417	887
64	424	881
65	429	872
66	436	865
67	441	857
68	446	848
69	452	839
70	458	832
71	463	824
72	469	817
73	475	809
74	481	802
75	487	796
76	493	788
77	498	780
78	505	773
79	510	765
80	516	758
81	522	752
82	528	745
83	535	738
84	542	734
85	548	727
86	554	720
87	559	712
88	565	705
89	571	698
90	577	691
91	582	683
92	588	677
93	594	670
94	599	662
95	606	656
96	610	648
97	616	641
98	622	634
99	627	627
100	634	622
101	641	616
102	647	609
103	653	603
104	658	595
105	664	589
106	669	582
107	674	574
108	680	568
109	685	561
110	691	554
111	697	548
112	703	541
113	709	534
114	715	528
115	721	522
116	727	516
117	734	510
118	740	504
119	747	498
120	753	491
121	760	486
122	766	479
123	772	473
124	778	467
125	785	461
126	790	454
127	796	448
128	802	441
129	807	434
130	813	428
131	818	421
132	824	415
133	830	409
134	835	402
135	841	396
136	847	389
137	853	383
138	858	376
139	865	370
140	871	364
141	877	358
142	883	352
143	889	345
144	896	339
145	902	333
146	908	327
147	915	321
148	920	315
149	927	309
150	932	302
151	940	296
152	946	290
153	952	284
154	959	278
155	965	272
156	971	266
157	977	259
158	983	253
159	990	247
160	996	241
161	1002	235
162	1008	228
163	1013	222
164	1019	216
165	1025	210
166	1031	203
167	1038	197
168	1044	191
169	1049	185
170	1054	178
171	1060	172
172	1066	166
173	1072	160
174	1077	153
175	1082	147
176	1088	141
177	1094	135
178	1100	129
179	1105	122
180	1110	116
181	1116	110
182	1121	104
183	1125	97
184	1130	91
185	1135	85
186	1140	79
187	1145	73
188	1150	66
189	1153	60
190	1158	54
191	1162	48
192	1166	42
193	1169	36
194	1173	30
195	1176	24
196	1180	17
197	1183	11
198	1186	5
199	1189	0
